Name;Temperature;HTC;Temp Amplitude;HTC Amplitude;Part;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zoneE_gas;939;2951;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zoneD_gas;943;2644;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zoneC_gas;953;2610;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zone2;959;3495;T_ampl_Mixer;HTC_mk2_scale;IH_finger-1;IH_finger-1-rad-2;IH_finger-1-rad-3;IH_finger-1-rad-4;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zoneB_gas;962;2038;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inner;970;812;T_ampl_Mixer;HTC_mk2_scale;IH_plates-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_zoneA_gas;974;1475;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_transition_piece_gas_side;986;818;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone11;1021;710;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_gas_side_2;1030;835;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tip_row3;1090;2702;T_ampl_Mixer;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tubes_row2_gas;1297;1112;T_ampl_FSB;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tubes_row1_gas;1314;1005;T_ampl_FSB;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS_liner_hotside3;1330;355;T_ampl_FSB;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS_liner_hotside1;1349;477;T_ampl_FSB;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FS_liner_hotside2;1388;501;T_ampl_FSB;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone10;1500;611;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone12;1500;631;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone09;1500;645;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zone08;1500;688;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_FP_3c;1578;756;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_FP_3b;1578;845;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Front;1578;845;T_ampl_Te1_1540;HTC_mk2_scale;demphers_small-1-1-rad-2;demphers_small-1-1-rad-16;demphers_small-1-1-rad-17;demphers_small-1-1-rad-18;demphers_small-1-1-rad-32;demphers_small-1-1;demphers_small-1-2;demphers_small-1-3;demphers_small-1-16;demphers_small-1-17;;;;;;;;;;;;;;;;;;
TA_SB_FP_3a;1578;1000;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_fp_3a_demp;1578;1000;T_ampl_Te1_1540;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Front;1578;1000;T_ampl_Te1_1540;HTC_mk2_scale;demphers_small-1-4;demphers_small-1-5;demphers_small-1-6;demphers_small-1-7;demphers_small-1-8;demphers_small-1-9;demphers_small-1-10;demphers_small-1-11;demphers_small-1-12;demphers_small-1-13;demphers_small-1-14;demphers_small-1-15;demphers_small-1-18;demphers_small-1-19;demphers_small-1-20;demphers_small-1-21;;;;;;;;;;;;
